原路径,归档路径,类别,原因,字节数,SHA256,状态
outputs/C题/传统机器学习重构/aft_checkpoint.json,outputs/C题/_archive/20260824_决策优化前/checkpoints/aft_checkpoint.json,checkpoints,AFT运行中断恢复文件,6996,7b977def640fa2f428c825881c561073f0f35c0b05c670f8d94f59a3d39c2205,moved
outputs/C题/传统机器学习重构/female_checkpoint.json,outputs/C题/_archive/20260824_决策优化前/checkpoints/female_checkpoint.json,checkpoints,女胎运行中断恢复文件,11931,c57398b11c4061e8754cf2f5fa95bea77ad961014a8dfccc43f13987b39fa433,moved
outputs/C题/传统机器学习重构/T13_catboost_fold1.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T13_CatBoost/T13_catboost_fold1.cbm,未入选模型/T13_CatBoost,T13最终回退正则逻辑回归,20928,f20e158a03addf34b0f074e907dec53e8ced6db1749008983d0dd44fdde3149d,moved
outputs/C题/传统机器学习重构/T13_catboost_fold2.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T13_CatBoost/T13_catboost_fold2.cbm,未入选模型/T13_CatBoost,T13最终回退正则逻辑回归,48096,f9d8f1750dcf1b9db6b2845eb2cea3aade6ebac881ff4329ed29b57d39c3ce08,moved
outputs/C题/传统机器学习重构/T13_catboost_fold3.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T13_CatBoost/T13_catboost_fold3.cbm,未入选模型/T13_CatBoost,T13最终回退正则逻辑回归,70440,1f5e27cb7807c944570b926665cbc8b8eaa990606777bf91e769fb2f803c3ff5,moved
outputs/C题/传统机器学习重构/T13_catboost_fold4.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T13_CatBoost/T13_catboost_fold4.cbm,未入选模型/T13_CatBoost,T13最终回退正则逻辑回归,111384,f97596df202c9e28dd9e9dc58e5bde15ef858e0f67fad7023493320b585a434b,moved
outputs/C题/传统机器学习重构/T21_catboost_fold1.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T21/T21_catboost_fold1.cbm,未入选模型/T21,T21无稳定判别信号,104248,5a9b9c596cc4bfdfcf45bd7fc454eeac699703a76cc2a8c66df7b615f1ba7a6b,moved
outputs/C题/传统机器学习重构/T21_catboost_fold2.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T21/T21_catboost_fold2.cbm,未入选模型/T21,T21无稳定判别信号,30352,0b6dba93f0b852ee7fd4a1768a77436a45ff6af180864f874e453bd81bae6f66,moved
outputs/C题/传统机器学习重构/T21_catboost_fold3.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T21/T21_catboost_fold3.cbm,未入选模型/T21,T21无稳定判别信号,32800,47b4ee2c0b8f63d3f73b1647078cbf52960cf4e8452861c3391d4f66ffe7a682,moved
outputs/C题/传统机器学习重构/T21_catboost_fold4.cbm,outputs/C题/_archive/20260824_决策优化前/未入选模型/T21/T21_catboost_fold4.cbm,未入选模型/T21,T21无稳定判别信号,17320,34b0a36e3de2662f3d6562ed8b3a7e64b076489ac70a134fc862f848c587db67,moved
outputs/C题/传统机器学习重构/T21_regularized_logit.joblib,outputs/C题/_archive/20260824_决策优化前/未入选模型/T21/T21_regularized_logit.joblib,未入选模型/T21,T21仅保留结果指标，不作为正式判定模型,3137,b4b2619d21b81697204316860e67a5acf61c40ab756cd91a78e4403f5ed6ce0e,moved
